Sno,Which of the following best describes your age?,What gender do you most identify with?,Are you a registered to vote?,Are you registered to vote at the current address you reside at?,Do you feel that you fully understand the election process?,In the last 5 years did you vote in a local election? This includes voting for Councillor & mayors,Did you voted in the  2021 elections?,"If not voted, why ?",On what basis do you assess a political candidate?,Which of the following best describes your decision to vote in the 2021 election?,On what basis you select your political candidate.,Contributed or collected money,Attended election meetings/rallies,Participated in door to door canvassing,Distributed election leaflets or put up posters,Do you think the existing government is going in the right direction to benefit Tamil Nadu's people?,How would you rate Edappadi Palanisamy’s performance as the Chief Minister of Tamil Nadu ,What is your assessment of the performance of the AIADMK government in Tamil Nadu in the last five years? Would you say that you have been satisfied or dissatisfied with it? ,During the last two- three years have you or any of your family members benefited from any Government scheme ? ,On the day of voting will you vote for the same party which you voted now or your decision may change? ,Which party do you support in your ward?,What is your opinion about the candidate? ,Which party will rule Tamil Nadu for the next five years?,Why do you think your candidate will win?
91,25 - 40,Male,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,Yes,Yes,Yes,Neutral,Somewhat satisfied,I'm not sure,Vote for the same party,MNM,Youngsters and educated,Kamal Haasan,His strategy towards welfare 
92,41 - 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,Yes,Yes,No,Neutral,I'm not sure,No,Not prefer to say,DMK / CONGRESS,For stalin ,M. A. Stalin,People need some changes after 10 years
93,41 - 50,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,No,No,Yes,Yes,Yes,Good,Somewhat satisfied,I'm not sure,Vote for the same party,DMK / CONGRESS,Fine,M. A. Stalin,Based on party
94,18 - 24,Male,Yes,Yes,A little,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,Good,Edappadi Palanisamy,"He is best in my candidate
"
95,25 - 40,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,Yes,Yes,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,Candidate ar  good,Edappadi Palanisamy,Support on party
96,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,No,Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,My relative ,M. A. Stalin,For his late father Karunanidhi 
97,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,No,Very Bad,Fully dissatisfied,Yes,Not prefer to say,DMK / CONGRESS,🔥,M. A. Stalin,Stalin
98,18 - 24,Male,Yes,Yes,A lot,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,I'm not sure,Vote for the same party,MNM,Promising,M. A. Stalin,I don't think my candidate will win
99,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,No,No,No,Yes,Good,I'm not sure,No,May change,AIADMK / BJP,Self promoting,M. A. Stalin,Nill
100,25 - 40,Female,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,Others,A candidate should be able to fulfill their promises ,Edappadi Palanisamy,"Because of his leadership ability, true to his words "
101,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,NOTA,No opinion,M. A. Stalin,"I feel that Tamil Nadu is governed by only 2 major parties in general, n if one party is not satisfactory for the people, they would definitely go for the alternative alone n not for the other parties"
102,18 - 24,Female,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,I'm not sure,Not prefer to say,NTK,Good ledership,Edappadi Palanisamy,Good leadership and people's support
103,25 - 40,Male,Yes,No,A moderate amount,No,No,I do not like any of the candidates running,Other,Other,On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,Yes,Vote for the same party,NTK,Good candidate,M. A. Stalin,He will not win 
104,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,Other,Other,On the basis on their promises,No,Yes,Yes,Yes,Yes,Very good,Fully satisfied,I'm not sure,Vote for the same party,AIADMK / BJP,Simplest man ,Edappadi Palanisamy,Because DMK MLA will not perform last 5 years
105,18 - 24,Male,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,No,No,Good,I'm not sure,I'm not sure,May change,NTK,No idea,Seeman,Their polies are good comparing the others
106,Above 50,Male,Yes,Yes,A lot,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,Trust in Service to the society,M. A. Stalin,Yes
107,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,Yes,Yes,Neutral,I'm not sure,I'm not sure,Vote for the same party,MNM,Youngsters,Kamal Haasan,His development motive 
108,18 - 24,Male,No,No,A little,No,No,"I'm Eligible to vote, but not having Voter ID",News on TV,Other,On the basis of past experience/Leadership,No,No,No,No,No,Bad,Somewhat dissatisfied,I'm not sure,May change,MNM,Very bold ,Kamal Haasan,Very promising candidates
109,Above 50,Male,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Fully dissatisfied,No,Not prefer to say,DMK / CONGRESS,None,M. A. Stalin,Preferred
110,18 - 24,Male,Yes,Yes,A little,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,No,No,Neutral,Somewhat satisfied,No,May change,MNM,Good,Kamal Haasan,Yes
111,18 - 24,Male,Yes,Yes,A little,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,No,No,Neutral,Somewhat satisfied,No,May change,MNM,Good,Kamal Haasan,Yes
112,25 - 40,Male,Yes,No,A moderate amount,No,No,I do not like any of the candidates running,Other,Other,On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,Yes,Vote for the same party,NTK,Good candidate,M. A. Stalin,He will not win 
113,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,Yes,May change,NTK,Good goal ,Seeman,Good goal
114,25 - 40,Male,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Good,Somewhat satisfied,Yes,Not prefer to say,NOTA,NA,Others,NA
115,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,Yes,Vote for the same party,MNM,Can see a change in ruling ,M. A. Stalin,Majority
116,18 - 24,Female,Unsure/Don't Know,No,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,I'm not sure,I'm not sure,Not prefer to say,Others,Good person with good leadership skills and should be able to fulfill all the needs of people and lead people in right direction.,Others,No comments
117,18 - 24,Male,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,No,Neutral,Somewhat dissatisfied,Yes,May change,MNM,He is a young graduate ready for doing good ,M. A. Stalin,He wont 
118,18 - 24,Male,No,No,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,Other,On the basis of past experience/Leadership,No,No,No,Yes,No,Neutral,Somewhat satisfied,No,Vote for the same party,MNM,Qualified candidate,M. A. Stalin,Good background
119,18 - 24,Male,No,No,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,Other,On the basis of past experience/Leadership,No,No,No,Yes,No,Neutral,Somewhat satisfied,No,Vote for the same party,MNM,Qualified candidate,M. A. Stalin,Good background
120,18 - 24,Female,Yes,No,A moderate amount,No,Yes,,Other,Other,On the basis on their promises,No,No,No,No,No,Good,Somewhat satisfied,No,Vote for the same party,DMK / CONGRESS,"I m not sure
",M. A. Stalin,DMK
121,18 - 24,Female,Yes,No,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Not prefer to say,Others,Good,Edappadi Palanisamy,High chances
122,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Good,Somewhat satisfied,No,Vote for the same party,MNM,nothing much,Edappadi Palanisamy,higher vote rates
123,25 - 40,Female,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",No,Yes,No,Yes,No,Bad,Somewhat satisfied,No,Not prefer to say,Others,Not gd they are just acting only at their voting time ..if they are trusted person then atleast  they had spent money on past two months for people affecting from lockdown,Seeman,Yes my candidate is well known about tamilnadu people and his agriculture.. He young to make our country young enough without any corruption
124,18 - 24,Female,Yes,No,A little,Yes,No,I do not have reliable transportation to voting poll,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,I'm not sure,I'm not sure,Not prefer to say,NOTA,..,Others,..
125,25 - 40,Female,No,No,A little,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very Bad,I'm not sure,I'm not sure,May change,NOTA,No comments,M. A. Stalin,No comments
126,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Good,Somewhat satisfied,Yes,May change,MNM,Just for change,Kamal Haasan,Maybe to see a change
127,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,NTK,Need to good at their works ,M. A. Stalin,May be their vote difference 
128,18 - 24,Male,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,No,Yes,Neutral,Somewhat satisfied,Yes,May change,AIADMK / BJP,Good,Edappadi Palanisamy,Good ruling
129,25 - 40,Male,Yes,Yes,A lot,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,Experienced Person,M. A. Stalin,Experienced party
130,41 - 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Not prefer to say,AIADMK / BJP,Ok,Edappadi Palanisamy,Done some good work
131,25 - 40,Female,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,Very skillful person,M. A. Stalin,He is only capable person
132,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,May change,AIADMK / BJP,Good,Edappadi Palanisamy,He is doing good and best than others according to me.
133,18 - 24,Female,Yes,Yes,A little,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,I'm not sure,No,Not prefer to say,NOTA,All are in the aim of lootibg money,Edappadi Palanisamy,Simply... Just a guess
134,18 - 24,Female,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,I'm not sure,Not prefer to say,DMK / CONGRESS,Nil,M. A. Stalin,Nil 
135,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Fully dissatisfied,No,May change,MNM,Haven't seen them around,M. A. Stalin,I feel that a rephrasal of ur question is required in order to answer
136,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,MNM,A wise person,Kamal Haasan,NA
137,18 - 24,Female,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,Just expectations ,M. A. Stalin,STALIN MA
138,18 - 24,Female,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,Just expectations ,M. A. Stalin,STALIN MA
139,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,Yes,Yes,Good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,AIADMK,Edappadi Palanisamy,He deserves 
140,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,Yes,Yes,Good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,AIADMK,Edappadi Palanisamy,He deserves 
141,18 - 24,Female,Unsure/Don't Know,Yes,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,Yes,Neutral,I'm not sure,No,May change,NTK,Senthamizhan Seeman,Seeman,Basis on promises
142,Above 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I don't care who wins.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,No,Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,Congress,M. A. Stalin,They'll get more votes this time
143,25 - 40,Female,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",Yes,No,Yes,Yes,Yes,Neutral,I'm not sure,I'm not sure,Vote for the same party,NOTA,Others candidate are dishonest in my ward ,Edappadi Palanisamy,Because of Majority 
144,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,May change,MNM,NEW,Edappadi Palanisamy,GOOD IDEAS
145,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Neutral,I'm not sure,Yes,Vote for the same party,DMK / CONGRESS,Good,M. A. Stalin,Talented person 
146,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",Yes,No,Yes,Yes,No,Good,Fully satisfied,No,May change,MNM,Young blood ,Kamal Haasan,knowledgeable person
147,25 - 40,Female,No,No,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",News on TV,Other,"Influenced by others (Family, Peers)",No,Yes,Yes,Yes,No,Neutral,Somewhat dissatisfied,I'm not sure,Not prefer to say,NTK,I don't know about the candidate ,Others,I'm not sure 
148,41 - 50,Male,Yes,No,A moderate amount,Yes,No,I do not like any of the candidates running,Other,Other,On the basis on their promises,No,No,Yes,Yes,No,Neutral,I'm not sure,I'm not sure,Not prefer to say,NOTA,Better option,Others,Better option
149,41 - 50,Male,Yes,No,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,I'm not sure,May change,MNM,Goood person ,Kamal Haasan,One of the talented human in Tamil Nadu 
150,Above 50,Male,Yes,No,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Bad,Somewhat dissatisfied,No,May change,MNM,mnm is better ,Kamal Haasan,Their promises
151,41 - 50,Female,Yes,No,A moderate amount,No,No,I do not have reliable transportation to voting poll,News on TV,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",No,No,Yes,Yes,Yes,Very good,I'm not sure,Yes,May change,AIADMK / BJP,Good party and candidate selection,Edappadi Palanisamy,Past exp..
152,Above 50,Female,Unsure/Don't Know,No,A moderate amount,Yes,No,I do not like any of the candidates running,Articles in the newspaper,Other,On the basis of past experience/Leadership,No,No,Yes,Yes,No,Very Bad,Fully dissatisfied,I'm not sure,May change,Others,Better not to vote for these ppl ,Seeman,Better than others 
153,25 - 40,Female,Yes,Yes,A lot,Yes,Yes,I am not registered,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,Yes,Yes,No,Neutral,Somewhat satisfied,No,May change,MNM,Good person,Kamal Haasan,Talented 
154,41 - 50,Male,Yes,No,A moderate amount,Yes,No,Due to COVID safety measure,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",Yes,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,NOTA,NOTA means no problem,Seeman,Because of his honesty 
155,25 - 40,Male,Yes,No,A little,No,No,Due to COVID safety measure,Online Ads,Other,"Influenced by others (Family, Peers)",No,No,Yes,No,Yes,Good,Somewhat satisfied,I'm not sure,Not prefer to say,MNM,Nothing,Kamal Haasan,Nothing
156,41 - 50,Male,Yes,Yes,A little,Yes,No,Due to COVID safety measure,Online Ads,Other,On the basis on their promises,Yes,No,Yes,Yes,Yes,Good,Somewhat satisfied,I'm not sure,Not prefer to say,Others,Not voting this year ,Edappadi Palanisamy,Past ruling experience..
157,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,I'm not sure,Vote for the same party,DMK / CONGRESS,Past pupil of my school ,Edappadi Palanisamy,Good number of voters
158,Above 50,Male,Yes,No,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",Yes,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,AIADMK / BJP,Strong candidate,M. A. Stalin,Majority 
159,41 - 50,Female,Yes,Yes,A little,Yes,No,Due to COVID safety measure,Articles in the newspaper,"I am going to vote, and I don't care who wins.",On the basis on their promises,Yes,Yes,Yes,Yes,No,Bad,I'm not sure,Yes,Not prefer to say,MNM,Good leadership skill,Kamal Haasan,Growing leader
160,Above 50,Male,Yes,No,A lot,Yes,No,Due to COVID safety measure,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,Yes,No,Yes,No,Yes,Good,I'm not sure,No,May change,Others,No opinion,T. T. V. Dhinakaran,T. T. V. Dhinakaran
161,25 - 40,Male,Yes,No,A moderate amount,No,No,Due to COVID safety measure,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,Dominant ,Edappadi Palanisamy,Leadership
162,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Very good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,Very transparent ,Edappadi Palanisamy,Majority in TN
163,41 - 50,Female,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.",On the basis on their promises,Yes,Yes,Yes,Yes,No,Bad,Fully dissatisfied,I'm not sure,May change,NOTA,No opinion,Seeman,Seeman
164,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,Other,On the basis on their promises,Yes,No,Yes,Yes,Yes,Neutral,Somewhat dissatisfied,No,May change,Others,No opinion,Kamal Haasan,Fan 
165,25 - 40,Male,Yes,No,A lot,Yes,No,Due to COVID safety measure,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,Yes,No,No,No,No,Good,Somewhat satisfied,Yes,Vote for the same party,DMK / CONGRESS,Transparency ,Kamal Haasan,Good leader 
166,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,Yes,No,Yes,Yes,No,Very Bad,Fully dissatisfied,No,Not prefer to say,NOTA,No comments,Edappadi Palanisamy,No idea 
167,25 - 40,Male,Yes,Yes,A lot,Yes,No,Due to COVID safety measure,Online Ads,"I am going to vote, and I don't care who wins.",On the basis on their promises,Yes,No,Yes,Yes,Yes,Neutral,Somewhat dissatisfied,No,May change,NTK,Disciplined ,Kamal Haasan,Transparent guy 
168,18 - 24,Male,Yes,Yes,None at all,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,DMK / CONGRESS,Very cultured ,T. T. V. Dhinakaran,No comments 
169,41 - 50,Female,Unsure/Don't Know,No,None at all,No,No,I am not registered,Other,Other,"Influenced by others (Family, Peers)",Yes,No,Yes,Yes,No,Neutral,I'm not sure,I'm not sure,Not prefer to say,Others,No opinion,Others,No idea
170,Above 50,Female,Yes,Yes,A little,Yes,No,I do not like any of the candidates running,News on TV,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,NOTA,No idea,Others,no idea
171,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",Yes,Yes,Yes,Yes,No,Bad,Somewhat dissatisfied,No,Vote for the same party,MNM,MNM MNM MNM,Kamal Haasan,Kamal Haasan Kamal Haasan Kamal Haasan Kamal Haasan
172,41 - 50,Others,Yes,No,A moderate amount,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,No,No,Yes,Yes,Bad,Somewhat satisfied,I'm not sure,May change,DMK / CONGRESS,Good person,M. A. Stalin,Talented 
173,Above 50,Others,Unsure/Don't Know,Yes,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,No,Yes,Yes,No,Good,Somewhat satisfied,Yes,Not prefer to say,Others,no idea ,Seeman,Seeman is legend 
174,18 - 24,Female,No,No,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,Yes,Very Bad,Somewhat dissatisfied,I'm not sure,Not prefer to say,DMK / CONGRESS,Talented,M. A. Stalin,Talented
175,25 - 40,Female,Yes,No,A little,Yes,No,I do not like any of the candidates running,Online Ads,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Bad,Somewhat satisfied,No,May change,NTK,No opinion,Edappadi Palanisamy,Majority 
176,41 - 50,Others,Yes,Yes,A lot,Yes,No,Due to COVID safety measure,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,Yes,No,No,Yes,Good,Fully dissatisfied,No,May change,Others,Better than others ,Seeman,Better than others 
177,18 - 24,Male,No,Yes,None at all,No,No,I am not registered,Other,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,DMK / CONGRESS,good plannings ,M. A. Stalin,good plannings 
178,41 - 50,Male,Yes,No,A moderate amount,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,Nil,M. A. Stalin,No idea 
179,18 - 24,Female,Yes,Yes,A little,No,Yes,,Other,Other,"Influenced by others (Family, Peers)",Yes,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,NTK,Cultured person,Seeman,Seeman is best 
180,25 - 40,Others,Yes,No,A little,No,Yes,I am not registered,Attended events where the candidate is addressing the people,Other,"Influenced by others (Family, Peers)",Yes,Yes,Yes,Yes,Yes,Good,Somewhat satisfied,I'm not sure,Vote for the same party,MNM,Very sportive,Kamal Haasan,Good person
181,18 - 24,Female,Yes,No,A lot,No,No,I do not have reliable transportation to voting poll,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Fully dissatisfied,I'm not sure,Not prefer to say,Others,No Opinion,Others,No opinion 
182,Above 50,Male,Yes,No,A lot,No,No,I do not like any of the candidates running,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,Yes,No,Yes,No,No,Very good,I'm not sure,I'm not sure,Not prefer to say,AIADMK / BJP,nil,Edappadi Palanisamy,nil
183,25 - 40,Female,Yes,No,A moderate amount,Yes,No,"I'm Eligible to vote, but not having Voter ID",Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,Yes,Bad,Somewhat satisfied,No,May change,DMK / CONGRESS,Rude,Edappadi Palanisamy,Good leader 
184,25 - 40,Male,Unsure/Don't Know,No,A little,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,No,No,No,Yes,Neutral,Somewhat satisfied,I'm not sure,May change,NTK,No much idea,Seeman,No opinion on Seeman
